"Hunter, Lewis; Booth, Campbell David; Egea-Alvarez, Agusti; Dysko, Adam; Finney, Stephen; Junyent-Ferre, Adria; ",A new fast-acting backup protection strategy for embedded MVDC links in future distribution networks,IEEE Transactions on Power Delivery,,,,2020,IEEE
"Sang, Yu; Junyent-Ferré, Adrià; Green, Tim C; ",Operational Principles of Three-Phase Single Active Bridge DC/DC Converters Under Duty Cycle Control,IEEE Transactions on Power Electronics,35,8,8737-8750,2020,IEEE
"Makkieh, Ahmad; Emhemed, Abdullah; Wang, Dong; Junyent-Ferre, Adria; Burt, Graeme; ",Investigation of different system earthing schemes for protection of low-voltage DC microgrids,The Journal of Engineering,2019,18,5129-5133,2019,IET
"Lachichi, Amel; Junyent-Ferre, Adria; Green, Tim C; ",Comparative optimization design of a modular multilevel converter tapping cells and a 2L-VSC for hybrid LV ac/dc microgrids,IEEE Transactions on Industry Applications,55,3,3228-3240,2019,IEEE
"Mandic, Danilo P; Kanna, Sithan; Xia, Yili; Moniri, Ahmad; Junyent-Ferre, Adria; Constantinides, Anthony G; ",A Data Analytics Perspective of Power Grid Analysis-Part 1: The Clarke and Related Transforms [Lecture Notes],IEEE Signal Processing Magazine,36,2,110-116,2019,IEEE
"Wang, Ye; Li, Yitong; Junyent-Ferré, Adrià; Kim, Minsung; ",H5+ Converter: A Bidirectional AC–DC Converter With DC-Fault-Blocking and Self-Pre-Charge Capabilities,IEEE Transactions on Power Electronics,34,11,10619-10634,2019,IEEE
"Gu, Yunjie; Li, Yitong; Yoo, Hyeong-Jun; Nguyen, Thai-Thanh; Xiang, Xin; Kim, Hak-Man; Junyent-Ferre, Adria; Green, Timothy C; ",Transfverter: Imbuing transformer-like properties in an interlink converter for robust control of a hybrid AC–DC microgrid,IEEE Transactions on Power Electronics,34,11,11332-11341,2019,IEEE
"Makkieh, Ahmad; Emhemed, Abdullah; Pena-Alzola, Rafael; Burt, Graeme; Junyent-Ferre, Adria; ",Capacitive earthing charge-based method for locating faults within a DC microgrid,,,,,2019,IEEE
"Hunter, L; Booth, C; Dysko, A; Finney, S; Junyent-Ferré, A; ",The impact of MVDC upon conventional distance protection schemes in hybrid ac-dc distribution networks,15th IET International Conference on AC and DC Power Transmission (ACDC 2019),,,1-6,2019,IET
"Makkieh, Ahmad; Florida-James, Anthony; Tzelepis, Dimitrios; Emhemed, Abdullah; Burt, Graeme; Strachan, Scott; Junyent-Ferre, Adria; ",Assessment of passive islanding detection methods for DC microgrids,,,,,2019,IET Digital Library
"Rodriguez-Bernuz, Joan-Marc; Junyent-Ferré, Adrià; ",Operating Region Extension of a Modular Multilevel Converter Using Model Predictive Control: A Single Phase Analysis,IEEE Transactions on Power Delivery,35,1,171-182,2019,IEEE
"Seok, Hwasoo; Jeong, Seo-Gwang; Kim, Kwang-Seop; Junyent-Ferré, Adrià; Cha, Honnyong; Kim, Minsung; ",Instantaneous Reactive Power Reduction of Ripple-Free Resonant Buck Converter Using Bidirectional Switch,2019 IEEE Applied Power Electronics Conference and Exposition (APEC),,,3174-3179,2019,IEEE
"Li, Yitong; Junyent-Ferré, Adrià; Judge, Paul D; ",A Boost-Full-Bridge-Type Single-Active-Bridge Isolated AC-DC Converter,2019 IEEE Applied Power Electronics Conference and Exposition (APEC),,,2021-2028,2019,IEEE
"Seok, Hwasoo; Junyent-Ferré, Adrià; Cha, Honnyong; Kim, Minsung; ",Reactive Power Elimination for High Conversion-Ratio Bidirectional Resonant Converter,IEEE Transactions on Power Electronics,35,4,3740-3753,2019,IEEE
"Sánchez-Sánchez, Enric; Prieto-Araujo, Eduardo; Junyent-Ferré, Adrià; Gomis-Bellmunt, Oriol; ",Analysis of MMC energy-based control structures for VSC-HVDC links,IEEE Journal of Emerging and Selected Topics in Power Electronics,6,3,1065-1076,2018,IEEE
"Makkieh, Ahmad; Emhemed, Abdullah; Junyent-Ferre, Adria; ",Fault characterisation of a DC microgrid with multiple earthing under grid connected and islanded operations,2018 53rd International Universities Power Engineering Conference (UPEC),,,1-6,2018,IEEE
"Rodriguez-Bernuz, Joan-Marc; Junyent-Ferré, Adrià; ",Model predictive circulating current regulator for single-phase modular multilevel converter,2018 IEEE Energy Conversion Congress and Exposition (ECCE),,,4824-4830,2018,IEEE
"Olvera, Julio Perez; Green, Timothy; Junyent-Ferre, Adria; ",Using Multi-Terminal DC Networks to Improve the Hosting Capacity of Distribution Networks,2018 IEEE PES Innovative Smart Grid Technologies Conference Europe (ISGT-Europe),,,1-6,2018,IEEE
"Lachichi, A; Junyent-Ferre, Adrià; Green, T; ",Optimal Design of a LCL Filter for LV Modular Multilevel Converters in Hybrid AC/DC Microgrids Application,IECON 2018-44th Annual Conference of the IEEE Industrial Electronics Society,,,3973-3978,2018,IEEE
"Son, Sungho; Montes, Oscar Andres; Junyent-Ferre, Adria; Kim, Minsung; ",High Step-Up Resonant DC/DC Converter With Balanced Capacitor Voltage for Distributed Generation Systems,IEEE Transactions on Power Electronics,34,5,4375-4387,2018,IEEE
"Lachichi, A; Junyent-Ferre, A; Green, T; ",LCL Filter Design Optimization for LV Modular Multilevel Converters in Hybrid ac/dc Microgrids Application,2018 International Conference on Electrical Sciences and Technologies in Maghreb (CISTEM),,,1-5,2018,IEEE
"Li, Yitong; Junyent-Ferré, Adrià; Rodriguez-Bernuz, Joan-Marc; ",A three-phase active rectifier topology for bipolar DC distribution,IEEE Transactions on Power Electronics,33,2,1063-1074,2017,IEEE
"Prieto-Araujo, Eduardo; Junyent-Ferré, Adrià; Collados-Rodríguez, Carlos; Clariana-Colet, Gerard; Gomis-Bellmunt, Oriol; ",Control design of Modular Multilevel Converters in normal and AC fault conditions for HVDC grids,Electric Power Systems Research,152,,424-437,2017,Elsevier
"Lachichi, Amel; Junyent-Ferre, Adria; Green, Tim; ",Power converters design for hybrid LV ac/dc microgrids,2017 IEEE 6th International Conference on Renewable Energy Research and Applications (ICRERA),,,850-854,2017,
"Rodriguez-Bernuz, Joan-Marc; Junyent-Ferré, Adrià; ",Model predictive DC bus voltage regulator with active power curtailment capability for single-phase inverters,2017 19th European Conference on Power Electronics and Applications (EPE'17 ECCE Europe),,,P. 1-P. 10,2017,IEEE
"Sang, Yu; Junyent-Ferré, Adria; Green, Tim C; ",Transformer design in a medium voltage DC/DC converter for a DC collection network,2017 19th European Conference on Power Electronics and Applications (EPE'17 ECCE Europe),,,P. 1-P. 10,2017,IEEE
"Hunter, L; Booth, C; Junyent-Ferre, A; Finney, S; ",MVDC for utility scale power distribution and control,HubNet Smart Grids Symposium 2017,,,,2017,
"Martínez-Sanz, Inmaculada; Chaudhuri, Balarko; Junyent-Ferré, Adrià; Trovato, Vincenzo; Strbac, Goran; ",Distributed vs. concentrated rapid frequency response provision in future great britain system,2016 IEEE Power and Energy Society General Meeting (PESGM),,,1-5,2016,IEEE
"Prieto-Araujo, Eduardo; Junyent-Ferre, Adria; Clariana-Colet, Gerard; Gomis-Bellmunt, Oriol; ",Control of modular multilevel converters under singular unbalanced voltage conditions with equal positive and negative sequence components,IEEE Transactions on Power Systems,32,3,2131-2141,2016,IEEE
"Green, Tim C; Frost, Thomas; Junyent‐Ferré, Adrià; Mitcheson, Paul D; ",Power Electronics for Flexible Distribution Networks,Smart Grid Handbook,,,,2016,"John Wiley & Sons, Ltd"
"Rodriguez-Bernuz, Joan-Marc; Junyent-Ferré, Adrià; ",Model predictive current reference calculation for single-phase vscs,2016 18th European Conference on Power Electronics and Applications (EPE'16 ECCE Europe),,,1-10,2016,IEEE
