Authors	Title	Publication	Volume	Number	Pages	Year	Publisher
"Prieto-Araujo, Eduardo; Bianchi, Fernando D; Junyent-Ferre, Adrià; Gomis-Bellmunt, Oriol; "	Methodology for droop control dynamic analysis of multiterminal VSC-HVDC grids for offshore wind farms	"Power Delivery, IEEE Transactions on"	26	4	2476-2485	2011	IEEE
"Junyent-Ferré, Adrià; Prieto-Araujo, Eduardo; Gomis-Bellmunt, Oriol; Bianchi, Fernando; "	Voltage sag ridethrough of PMSG wind turbines using droop control stabilization	Proceedings of the 2011 14th European Conference on Power Electronics and Applications			01-Aug	2011	IEEE
"Prieto Araujo, Eduardo; "	Anàlisi dinàmica de xarxes multiterminal HVDC-VSC per al transport d'energia elèctrica en corrent continu en parcs eòlics marins					2011	Universitat Politècnica de Catalunya
"Prieto-Araujo, Eduardo; Cheah-Mañé, Marc; Villafafila-Robles, Roberto; Gomis-Bellmunt, Oriol; Junyent-Ferré, Adrià; "	Development of a laboratory platform for testing new solutions to integrate renewable energy sources in power systems	2013 15th European Conference on Power Electronics and Applications (EPE)			01-Oct	2013	IEEE
"Junyent-Ferré, Adrià; Cheah-Mañé, Marc; Prieto-Araujo, Eduardo; Gomis-Bellmunt, Oriol; "	Single phase to balanced three phase load converter control	2013 15th European Conference on Power Electronics and Applications (EPE)			01-Jul	2013	IEEE
"Prieto-Araujo, E; Olivella-Rosell, P; Cheah-Mañe, M; Villafafila-Robles, R; Gomis-Bellmunt, O; "	Renewable energy emulation concepts for microgrids	Renewable and Sustainable Energy Reviews	50		325-345	2015	Pergamon
"Vinyals Canal, Guillem; Vidal Clos, Josep Andreu; Clariana Colet, Gerard; Prieto Araujo, Eduardo; Villafafila Robles, Roberto; Gomis Bellmunt, Oriol; Sudrià Andreu, Antoni; "	Microrred de laboratorio para la emulación de recursos energéticos distribuidos	"II Congreso Iberoamericano sobre microrredes con generación distribuida de renovables: 6-8 de Octubre 2014, Soria, Castilla y León, España"			01-Oct	2014	
"Sau-Bassols, J; Egea-Alvarez, A; Prieto-Araujo, E; Gomis-Bellmunt, O; "	Current Source Converter series tapping of a LCC-HVDC transmission system for integration of offshore wind power plants					2015	IET Digital Library
"Prieto-Araujo, Eduardo; Junyent-Ferré, Adrià; Lavernia-Ferrer, David; Gomis-Bellmunt, Oriol; "	Decentralized control of a nine-phase permanent magnet generator for offshore wind turbines	IEEE Transactions on Energy Conversion	30	3	1103-1112	2015	IEEE
"Prieto-Araujo, Eduardo; Egea-Alvarez, Agustí; Fekriasl, Sajjad; Gomis-Bellmunt, Oriol; "	DC voltage droop control design for multiterminal HVDC systems considering AC and DC grid dynamics	IEEE Transactions on Power Delivery	31	2	575-585	2015	IEEE
